node,cpu,mem,cpu_percent,mem_percent
softwareupdated,0,32768.0,0.0,0.00000
seserviced,0,3377,0.0,0.00000
PowerChime,0,12288.0,0.0,0.00000
appstorecomponen,0,16384.0,0.0,0.00000
ZoomAutoUpdater,0,13312.0,0.0,0.00000
distnoted,0,1441,0.0,0.00000
ssh-agent,0,1361,0.0,0.00000
StatusKitAgent,0,9425,0.0,0.00000
ZoomAutoUpdater,0,13312.0,0.0,0.00000
DiskUnmountWatch,0,1537,0.0,0.00000
storeaccountd,0,3569,0.0,0.00000
appleaccountd,0,6833,0.0,0.00000
CrashReporterSup,0,1793,0.0,0.00000
distnoted,0,1409,0.0,0.00000
Amazon,1,1,Music,sleeping
TextInputMenuAge,0,15360.0,0.0,0.00000
AirPlayUIAgent,0,8898,0.0,0.00000
icdd,0,3265,0.0,0.00000
commerce,0,10240.0,0.0,0.00000
fairplayd,0,2817,0.0,0.00000
CVMServer,0,2865,0.0,0.00000
mdwrite,0,2849,0.0,0.00000
automountd,0,2513,0.0,0.00000
AMPDeviceDiscove,0,4513,0.0,0.00000
Spotlight,0,136192.0,0.0,0.00000
Finder,0,316416.0,0.0,0.00000
SystemUIServer,0,12288.0,0.0,0.00000
PAH_Extension,0,9282,0.0,0.00000
CursorUIViewServ,0,18432.0,0.0,0.00000
imklaunchagent,0,5313,0.0,0.00000
passd,0,11264.0,0.0,0.00000
ctkahp,0,3665,0.0,0.00000
ctkahp,0,3345,0.0,0.00000
WallpaperVideoEx,0,12288.0,0.0,0.00000
fontworker,0,4209,0.0,0.00000
fontd,0,13312.0,0.0,0.00000
ViewBridgeAuxili,0,6033,0.0,0.00000
UIKitSystem,0,10240.0,0.0,0.00000
storedownloadd,0,4049,0.0,0.00000
diagnostics_agen,0,5489,0.0,0.00000
WallpaperAgent,0,12288.0,0.0,0.00000
corespotlightd,0,25600.0,0.0,0.00000
distnoted,0,1441,0.0,0.00000
avconferenced,0,31744.0,0.0,0.00000
mediaremoteagent,0,2449,0.0,0.00000
useractivityd,0,5217,0.0,0.00000
imagent,0,12288.0,0.0,0.00000
distnoted,0,1409,0.0,0.00000
nearbyd,0,5153,0.0,0.00000
distnoted,0,1441,0.0,0.00000
distnoted,0,1361,0.0,0.00000
ContinuityCaptur,0,14336.0,0.0,0.00000
WindowManager,0,20480.0,0.0,0.00000
searchpartyusera,0,15360.0,0.0,0.00000
